装备名,itemid,物品品级,特殊修正+n
月航员御敌头盔,47758,745,特殊修正+1
月航员御敌坎肩,47759,745,特殊修正+1
月航员御敌护臂,47760,745,特殊修正+1
月航员御敌腰布裙,47761,745,特殊修正+1
月航员御敌大脚,47762,745,特殊修正+1
月航员御敌头盔+1,47763,745,特殊修正+2
月航员御敌坎肩+1,47764,745,特殊修正+2
月航员御敌护臂+1,47765,745,特殊修正+2
月航员御敌腰布裙+1,47766,745,特殊修正+2
月航员御敌大脚+1,47767,745,特殊修正+2
月航员御敌头盔+2,47768,745,特殊修正+3
月航员御敌坎肩+2,47769,745,特殊修正+3
月航员御敌护臂+2,47770,745,特殊修正+3
月航员御敌腰布裙+2,47771,745,特殊修正+3
月航员御敌大脚+2,47772,745,特殊修正+3
月航员制敌头盔,47773,745,特殊修正+1
月航员制敌坎肩,47774,745,特殊修正+1
月航员制敌护臂,47775,745,特殊修正+1
月航员制敌腰布裙,47776,745,特殊修正+1
月航员制敌大脚,47777,745,特殊修正+1
月航员制敌头盔+1,47778,745,特殊修正+2
月航员制敌坎肩+1,47779,745,特殊修正+2
月航员制敌护臂+1,47780,745,特殊修正+2
月航员制敌腰布裙+1,47781,745,特殊修正+2
月航员制敌大脚+1,47782,745,特殊修正+2
月航员制敌头盔+2,47783,745,特殊修正+3
月航员制敌坎肩+2,47784,745,特殊修正+3
月航员制敌护臂+2,47785,745,特殊修正+3
月航员制敌腰布裙+2,47786,745,特殊修正+3
月航员制敌大脚+2,47787,745,特殊修正+3
月航员强袭双角帽,47788,745,特殊修正+1
月航员强袭紧身上衣,47789,745,特殊修正+1
月航员强袭手套,47790,745,特殊修正+1
月航员强袭长裤,47791,745,特殊修正+1
月航员强袭长靴,47792,745,特殊修正+1
月航员强袭双角帽+1,47793,745,特殊修正+2
月航员强袭紧身上衣+1,47794,745,特殊修正+2
月航员强袭手套+1,47795,745,特殊修正+2
月航员强袭长裤+1,47796,745,特殊修正+2
月航员强袭长靴+1,47797,745,特殊修正+2
月航员强袭双角帽+2,47798,745,特殊修正+3
月航员强袭紧身上衣+2,47799,745,特殊修正+3
月航员强袭手套+2,47800,745,特殊修正+3
月航员强袭长裤+2,47801,745,特殊修正+3
月航员强袭长靴+2,47802,745,特殊修正+3
月航员精准双角帽,47803,745,特殊修正+1
月航员精准紧身上衣,47804,745,特殊修正+1
月航员精准手套,47805,745,特殊修正+1
月航员精准长裤,47806,745,特殊修正+1
月航员精准长靴,47807,745,特殊修正+1
月航员精准双角帽+1,47808,745,特殊修正+2
月航员精准紧身上衣+1,47809,745,特殊修正+2
月航员精准手套+1,47810,745,特殊修正+2
月航员精准长裤+1,47811,745,特殊修正+2
月航员精准长靴+1,47812,745,特殊修正+2
月航员精准双角帽+2,47813,745,特殊修正+3
月航员精准紧身上衣+2,47814,745,特殊修正+3
月航员精准手套+2,47815,745,特殊修正+3
月航员精准长裤+2,47816,745,特殊修正+3
月航员精准长靴+2,47817,745,特殊修正+3
月航员游击双角帽,47818,745,特殊修正+1
月航员游击紧身上衣,47819,745,特殊修正+1
月航员游击手套,47820,745,特殊修正+1
月航员游击长裤,47821,745,特殊修正+1
月航员游击长靴,47822,745,特殊修正+1
月航员游击双角帽+1,47823,745,特殊修正+2
月航员游击紧身上衣+1,47824,745,特殊修正+2
月航员游击手套+1,47825,745,特殊修正+2
月航员游击长裤+1,47826,745,特殊修正+2
月航员游击长靴+1,47827,745,特殊修正+2
月航员游击双角帽+2,47828,745,特殊修正+3
月航员游击紧身上衣+2,47829,745,特殊修正+3
月航员游击手套+2,47830,745,特殊修正+3
月航员游击长裤+2,47831,745,特殊修正+3
月航员游击长靴+2,47832,745,特殊修正+3
月航员治愈圆锥帽,47833,745,特殊修正+1
月航员治愈长袍,47834,745,特殊修正+1
月航员治愈护手,47835,745,特殊修正+1
月航员治愈长裙,47836,745,特殊修正+1
月航员治愈矮靴,47837,745,特殊修正+1
月航员治愈圆锥帽+1,47838,745,特殊修正+2
月航员治愈长袍+1,47839,745,特殊修正+2
月航员治愈护手+1,47840,745,特殊修正+2
月航员治愈长裙+1,47841,745,特殊修正+2
月航员治愈矮靴+1,47842,745,特殊修正+2
月航员治愈圆锥帽+2,47843,745,特殊修正+3
月航员治愈长袍+2,47844,745,特殊修正+3
月航员治愈护手+2,47845,745,特殊修正+3
月航员治愈长裙+2,47846,745,特殊修正+3
月航员治愈矮靴+2,47847,745,特殊修正+3
月航员咏咒圆锥帽,47848,745,特殊修正+1
月航员咏咒长袍,47849,745,特殊修正+1
月航员咏咒护手,47850,745,特殊修正+1
月航员咏咒长裙,47851,745,特殊修正+1
月航员咏咒矮靴,47852,745,特殊修正+1
月航员咏咒圆锥帽+1,47853,745,特殊修正+2
月航员咏咒长袍+1,47854,745,特殊修正+2
月航员咏咒护手+1,47855,745,特殊修正+2
月航员咏咒长裙+1,47856,745,特殊修正+2
月航员咏咒矮靴+1,47857,745,特殊修正+2
月航员咏咒圆锥帽+2,47858,745,特殊修正+3
月航员咏咒长袍+2,47859,745,特殊修正+3
月航员咏咒护手+2,47860,745,特殊修正+3
月航员咏咒长裙+2,47861,745,特殊修正+3
月航员咏咒矮靴+2,47862,745,特殊修正+3
力之新月魔耳饰,49826,745,特殊修正+1
力之新月魔项链,49827,745,特殊修正+1
力之新月魔手镯,49828,745,特殊修正+1
力之新月魔戒指,49829,745,特殊修正+1
魔之新月魔耳饰,49831,745,特殊修正+1
魔之新月魔项链,49832,745,特殊修正+1
魔之新月魔手镯,49833,745,特殊修正+1
魔之新月魔戒指,49834,745,特殊修正+1
幻境意象御敌面具,51811,780,特殊修正+1
幻境意象御敌护甲,51812,780,特殊修正+1
幻境意象御敌臂甲,51813,780,特殊修正+1
幻境意象御敌打底裤,51814,780,特殊修正+1
幻境意象御敌锁甲靴,51815,780,特殊修正+1
幻境意象御敌面具+1,51816,780,特殊修正+2
幻境意象御敌护甲+1,51817,780,特殊修正+2
幻境意象御敌臂甲+1,51818,780,特殊修正+2
幻境意象御敌打底裤+1,51819,780,特殊修正+2
幻境意象御敌锁甲靴+1,51820,780,特殊修正+2
幻境意象御敌面具+2,51821,780,特殊修正+3
幻境意象御敌护甲+2,51822,780,特殊修正+3
幻境意象御敌臂甲+2,51823,780,特殊修正+3
幻境意象御敌打底裤+2,51824,780,特殊修正+3
幻境意象御敌锁甲靴+2,51825,780,特殊修正+3
幻境意象御敌面具+3,51826,780,特殊修正+4
幻境意象御敌护甲+3,51827,780,特殊修正+4
幻境意象御敌臂甲+3,51828,780,特殊修正+4
幻境意象御敌打底裤+3,51829,780,特殊修正+4
幻境意象御敌锁甲靴+3,51830,780,特殊修正+4
幻境意象制敌面具,51831,780,特殊修正+1
幻境意象制敌护甲,51832,780,特殊修正+1
幻境意象制敌臂甲,51833,780,特殊修正+1
幻境意象制敌打底裤,51834,780,特殊修正+1
幻境意象制敌锁甲靴,51835,780,特殊修正+1
幻境意象制敌面具+1,51836,780,特殊修正+2
幻境意象制敌护甲+1,51837,780,特殊修正+2
幻境意象制敌臂甲+1,51838,780,特殊修正+2
幻境意象制敌打底裤+1,51839,780,特殊修正+2
幻境意象制敌锁甲靴+1,51840,780,特殊修正+2
幻境意象制敌面具+2,51841,780,特殊修正+3
幻境意象制敌护甲+2,51842,780,特殊修正+3
幻境意象制敌臂甲+2,51843,780,特殊修正+3
幻境意象制敌打底裤+2,51844,780,特殊修正+3
幻境意象制敌锁甲靴+2,51845,780,特殊修正+3
幻境意象制敌面具+3,51846,780,特殊修正+4
幻境意象制敌护甲+3,51847,780,特殊修正+4
幻境意象制敌臂甲+3,51848,780,特殊修正+4
幻境意象制敌打底裤+3,51849,780,特殊修正+4
幻境意象制敌锁甲靴+3,51850,780,特殊修正+4
幻境意象强袭包头巾,51851,780,特殊修正+1
幻境意象强袭长袍,51852,780,特殊修正+1
幻境意象强袭护腕,51853,780,特殊修正+1
幻境意象强袭垮裤,51854,780,特殊修正+1
幻境意象强袭矮靴,51855,780,特殊修正+1
幻境意象强袭包头巾+1,51856,780,特殊修正+2
幻境意象强袭长袍+1,51857,780,特殊修正+2
幻境意象强袭护腕+1,51858,780,特殊修正+2
幻境意象强袭垮裤+1,51859,780,特殊修正+2
幻境意象强袭矮靴+1,51860,780,特殊修正+2
